S.No.,State ,City,ICAO,FAA,IATA,Airport,Role,Enplanements
300,Texas,El Paso,KELP,ELP,ELP,El Paso International Airport,P-S,1605486
301,Texas,Harlingen,KHRL,HRL,HRL,Valley International Airport,P-S,302236
302,Texas,Houston,KIAH,IAH,IAH,George Bush Intercontinental/Houston Airport,P-L,21157398
303,Texas,Houston,KHOU,HOU,HOU,William P. Hobby Airport,P-M,7053886
304,Texas,Killeen,KGRK,GRK,GRK,Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,154328
305,Texas,Laredo,KLRD,LRD,LRD,Laredo International Airport,P-N,95858
306,Texas,Longview,KGGG,GGG,GGG,East Texas Regional Airport,P-N,24588
307,Texas,Lubbock,KLBB,LBB,LBB,Lubbock Preston Smith International Airport,P-S,484010
308,Texas,McAllen,KMFE,MFE,MFE,McAllen Miller International Airport,P-S,347440
309,Texas,Midland / Odessa,KMAF,MAF,MAF,Midland International Air and Space Port,P-S,618794
310,Texas,San Angelo,KSJT,SJT,SJT,San Angelo Regional Airport (Mathis Field),P-N,55301
311,Texas,San Antonio,KSAT,SAT,SAT,San Antonio International Airport,P-M,4844427
312,Texas,Tyler,KTYR,TYR,TYR,Tyler Pounds Regional Airport,P-N,48532
313,Texas,Waco,KACT,ACT,ACT,Waco Regional Airport,P-N,57344
314,Texas,Wichita Falls,KSPS,SPS,SPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,38026
315,Texas,Cedar City,KCDC,CDC,CDC,Cedar City Regional Airport,P-N,15835
316,Texas,Moab,KCNY,CNY,CNY,Canyonlands Regional Airport,P-N,14035
317,Texas,Ogden,KOGD,OGD,OGD,Ogden-Hinckley Airport,P-N,18327
318,Texas,Provo,KPVU,PVU,PVU,Provo Municipal Airport,P-N,80106
319,Texas,St. George,KSGU,SGU,SGU,St. George Regional Airport,P-N,123060
320,Texas,Salt Lake City,KSLC,SLC,SLC,Salt Lake City International Airport,P-L,12226730
321,Texas,Burlington,KBTV,BTV,BTV,Burlington International Airport,P-S,658879
322,Texas,Charlottesville,KCHO,CHO,CHO,Charlottesville–Albemarle Airport,P-N,352816
323,Texas,Lynchburg,KLYH,LYH,LYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,83392
324,Texas,Newport News,KPHF,PHF,PHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,195573
383,U.S. Virgin Islands,Norfolk,KORF,ORF,ORF,Norfolk International Airport,P-M,1846031
384,U.S. Virgin Islands,Richmond,KRIC,RIC,RIC,Richmond International Airport (Byrd Field),P-S,2048691
325,Utah,Roanoke,KROA,ROA,ROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),P-N,330063
326,Utah,Staunton / Waynesboro / Harrisonburg,KSHD,SHD,SHD,Shenandoah Valley Regional Airport,P-N,12179
327,Utah,"Washington, D.C. / Arlington",KDCA,DCA,DCA,Ronald Reagan Washington National Airport,P-L,11366771
328,Utah,"Washington, D.C. / Dulles / Chantilly",KIAD,IAD,IAD,Washington Dulles International Airport,P-L,11621623
329,Utah,Bellingham,KBLI,BLI,BLI,Bellingham International Airport,P-N,368186
330,Utah,Eastsound,KORS,ORS,ESD,Orcas Island Airport,P-N,10101
331,Vermont,Everett,KPAE,PAE,PAE,Paine Field (Snohomish County Airport),P-N,3037
332,Virginia,Friday Harbor,KFHR,FHR,FRD,Friday Harbor Airport,P-N,13497
333,Virginia,Pasco,KPSC,PSC,PSC,Tri-Cities Airport,P-S,395348
334,Virginia,"Pullman / Moscow, Idaho",KPUW,PUW,PUW,Pullman–Moscow Regional Airport,P-N,66669
335,Virginia,Seattle,KBFI,BFI,BFI,King County International Airport (Boeing Field),P-N,18586
336,Virginia,Seattle / Tacoma (SeaTac),KSEA,SEA,SEA,Seattle–Tacoma International Airport,P-L,24024908
337,Virginia,Spokane,KGEG,GEG,GEG,Spokane International Airport (Geiger Field),P-S,1872781
338,Virginia,Walla Walla,KALW,ALW,ALW,Walla Walla Regional Airport,P-N,49527
339,Virginia,Wenatchee,KEAT,EAT,EAT,Pangborn Memorial Airport,P-N,64528
340,Virginia,Yakima,KYKM,YKM,YKM,Yakima Air Terminal (McAllister Field),P-N,69510
341,Washington,Charleston,KCRW,CRW,CRW,Yeager Airport,P-N,216873
342,Washington,Clarksburg,KCKB,CKB,CKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,36917
343,Washington,Huntington,KHTS,HTS,HTS,Tri-State Airport (Milton J. Ferguson Field),P-N,101701
344,Washington,Lewisburg,KLWB,LWB,LWB,Greenbrier Valley Airport,P-N,10359
345,Washington,Appleton,KATW,ATW,ATW,Appleton International Airport,P-S,348026
346,Washington,Eau Claire,KEAU,EAU,EAU,Chippewa Valley Regional Airport,P-N,23950
347,Washington,Green Bay,KGRB,GRB,GRB,Green Bay–Austin Straubel International Airport,P-N,314909
348,Washington,La Crosse,KLSE,LSE,LSE,La Crosse Regional Airport,P-N,99651
349,Washington,Madison,KMSN,MSN,MSN,Dane County Regional Airport (Truax Field),P-S,1043185
350,Washington,Milwaukee,KMKE,MKE,MKE,Milwaukee Mitchell International Airport,P-M,3496724
351,Washington,Mosinee,KCWA,CWA,CWA,Central Wisconsin Airport,P-N,124632
352,Washington,Rhinelander,KRHI,RHI,RHI,Rhinelander–Oneida County Airport,P-N,24477
353,West Virginia,Casper,KCPR,CPR,CPR,Casper–Natrona County International Airport,P-N,66629
354,West Virginia,Cody,KCOD,COD,COD,Yellowstone Regional Airport,P-N,37349
355,West Virginia,Gillette,KGCC,GCC,GCC,Gillette–Campbell County Airport,P-N,23873
356,West Virginia,Jackson,KJAC,JAC,JAC,Jackson Hole Airport,P-S,497548
357,Wisconsin,Laramie,KLAR,LAR,LAR,Laramie Regional Airport,P-N,16728
358,Wisconsin,Riverton,KRIW,RIW,RIW,Central Wyoming Regional Airport (was Riverton Regional),P-N,15420
359,Wisconsin,Rock Springs,KRKS,RKS,RKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport),P-N,16679
360,Wisconsin,Sheridan,KSHR,SHR,SHR,Sheridan County Airport,P-N,23920
361,Wisconsin,Agana / Tamuning,PGUM,GUM,GUM,Antonio B. Won Pat International Airport,P-N,1736131
362,Wisconsin,"Obyan, Saipan Island",PGSN,GSN,SPN,Saipan International Airport (Francisco C. Ada),P-N,595181
